steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
24502414	11993	641798.1274664402	29.74170731707502	30.00000000000189	1.6296685283197503	31.000000000002068	20.410000000000487	0.9750109234200734	0.8261182015557089	6120603
24751414	12076	647084.4799246788	29.536585365855522	30.00000000000189	1.2061832567154491	32.00000000000223	26.000000000001428	0.9581095908859709	0.7900502998173223	6182853
25000414	12159	652347.5578217506	29.90243902439213	30.00000000000189	0.8308091853363117	32.000000000002146	29.000000000001712	0.9819497081959477	0.8795524458231069	6245103
25252357	12243	657666.7784159184	27.88000000000162	29.000000000001712	2.6470812273884117	32.00000000000214	20.350000000000453	0.9311139751948736	0.8788760894344533	6308089
25500565	12326	662912.0058059692	30.024390243904328	30.00000000000189	0.8212126666719963	32.00000000000207	28.000000000001663	0.9801246667372366	0.8348536689389778	6370141
25751157	12410	668208.8688619137	29.8292682926848	30.00000000000189	1.1158503265311852	32.00000000000207	27.000000000001535	0.9737700552032211	0.834510817326044	6432789
26000157	12493	673484.8027915955	29.804878048782356	30.00000000000189	1.0774857816956838	32.000000000002245	26.000000000001535	0.9553294326309575	0.8249949060574397	6495039
26251696	12577	678801.6251072884	29.463414634148176	30.00000000000189	1.074652524670516	31.000000000002068	27.00000000000137	0.9838365311152715	0.8301214908690033	6557923
26500696	12660	684077.8156926632	29.756097560977484	30.00000000000189	1.0435633139604552	32.00000000000207	27.000000000001712	0.9691322806716905	0.8326953911689928	6620173
26752696	12744	689396.3561346531	29.682926829270155	30.00000000000189	1.0353507712424572	32.000000000002046	28.000000000001556	0.9811230375627642	0.8152992915961864	6683173
27001696	12827	694630.9906756878	29.78048780487995	30.00000000000189	0.8518273041513228	32.000000000002245	28.000000000001535	0.9846485468545568	0.7876516828039186	6745423
27250696	12910	699858.1722726822	29.365853658538416	30.00000000000189	1.1125667971178161	31.000000000002068	27.000000000001382	0.9823014328401453	0.8563133987587448	6807673
27502696	12994	705095.0828223228	28.99073170731888	29.00000000000189	1.3268466193271158	31.000000000002068	25.620000000001674	0.952986803329197	0.8800515762664147	6870673
27751696	13077	710304.4194424152	29.682926829270166	30.00000000000189	0.8197263076858639	32.00000000000207	28.000000000001712	0.942617208991129	0.8981496399967581	6932923
28000696	13160	715519.4399068356	28.536585365855426	28.000000000002068	1.6293796515180252	32.00000000000207	22.000000000001066	0.9712596659384434	0.8655691790474282	6995173
28251862	13244	720765.2939620018	29.00047619047799	30.00000000000189	2.322834635380457	31.000000000002068	18.340000000000337	0.9457316540915337	0.8695892428899563	7057965
28500862	13327	725973.121639967	27.905000000001674	29.00000000000189	3.7054806146260773	31.000000000002068	13.08999999999966	0.9774243641261461	0.8795838728606519	7120215
28752490	13411	731246.0914301872	29.59365853658721	30.00000000000189	1.8408282865298722	32.000000000002245	20.340000000000828	0.970855148046849	0.8771569199201554	7183122
